user_nickname,last_celeb_chat_date,first_celeb_chat_date,celeb_chat_period,celeb_chat_week,celeb_chat_count,avg_celeb_chat,last_week_celeb_chat_count,celeb_chat_length,celeb_chat_avg_len,churn,celeb_joinus_date,celeb_type
퍄퍄야,2022-11-15,2022-09-27,50,8,619,77.38,259,7038.0,11.369951534733442,1,before 2022-09-04,churn_customer
평범입니다!,2022-10-20,2022-09-13,38,6,168,28.0,12,3163.0,18.827380952380953,1,before 2022-09-04,churn_customer
폰정아,2023-01-02,2022-11-20,44,7,96,13.71,8,692.0,7.208333333333333,1,before 2022-09-04,churn_customer
폰하연,2022-12-14,2022-12-14,1,1,1,1.0,1,126.0,126.0,1,2022-12-14,churn_customer
푸노노,2022-11-19,2022-09-08,73,11,16,1.45,1,298.0,18.625,1,before 2022-09-04,churn_customer
푸스스,2022-11-28,2022-09-11,79,12,153,12.75,11,5609.0,36.66013071895425,1,before 2022-09-04,churn_customer
프리닛,2022-09-08,2022-09-08,1,1,3,3.0,3,72.0,24.0,1,before 2022-09-04,churn_customer
플루트레미,2023-01-20,2022-09-05,138,20,2588,129.4,54,45867.0,17.722952086553324,0,before 2022-09-04,long_term
피네님,2023-01-19,2022-10-09,103,15,98,6.53,4,1497.0,15.275510204081632,0,before 2022-09-04,mid_term
하꼬님,2023-01-19,2022-09-24,118,17,112,6.59,3,6653.0,59.401785714285715,0,before 2022-09-04,long_term
하꿈,2023-01-20,2022-09-04,139,20,1172,58.6,26,43764.0,37.341296928327644,0,before 2022-09-04,long_term
하나나,2022-10-01,2022-09-30,2,1,17,17.0,17,169.0,9.941176470588236,1,before 2022-09-04,churn_customer
하나모,2022-10-05,2022-09-05,31,5,919,183.8,327,9891.0,10.76278563656148,1,before 2022-09-04,churn_customer
하나모_,2023-01-04,2022-11-03,63,9,1743,193.67,47,18188.0,10.434882386689615,1,2022-11-03,churn_customer
하다___,2023-01-20,2022-09-05,138,20,217,10.85,104,3944.0,18.17511520737327,0,before 2022-09-04,long_term
하루짱,2023-01-17,2022-09-04,136,20,2544,127.2,46,49920.0,19.62264150943396,0,before 2022-09-04,long_term
하링하링하링하링하링,2023-01-20,2022-09-23,120,18,5048,280.44,159,70297.0,13.925713153724248,0,before 2022-09-04,long_term
하밍,2022-12-09,2022-12-02,8,2,19,9.5,2,266.0,14.0,1,2022-12-02,churn_customer
하빈_0620,2022-12-05,2022-11-03,33,5,4,0.8,1,80.0,20.0,1,2022-10-17,churn_customer
하쁘,2023-01-20,2022-10-01,112,16,3962,247.62,105,47963.0,12.105754669358909,0,before 2022-09-04,long_term
하유_별,2022-10-29,2022-09-23,37,6,5,0.83,3,79.0,15.8,1,before 2022-09-04,churn_customer
하음파,2023-01-20,2022-10-21,92,14,1121,80.07,92,18642.0,16.629794826048172,0,2022-10-21,mid_term
하이린,2022-10-12,2022-10-12,1,1,28,28.0,28,307.0,10.964285714285714,1,2022-10-12,churn_customer
하이콩,2022-11-27,2022-09-04,85,13,99,7.62,2,1272.0,12.848484848484848,1,before 2022-09-04,churn_customer
하하호호,2022-09-18,2022-09-06,13,2,13,6.5,8,67.0,5.153846153846154,1,before 2022-09-04,churn_customer
한가람,2023-01-09,2022-11-13,58,9,220,24.44,5,3935.0,17.886363636363637,1,before 2022-09-04,churn_customer
한나랑 뚜뚜랑 삼동이🔥,2022-11-17,2022-11-17,1,1,12,12.0,12,106.0,8.833333333333334,1,before 2022-09-04,churn_customer
한라봄,2023-01-09,2022-09-15,117,17,549,32.29,2,9676.0,17.624772313296905,1,before 2022-09-04,churn_customer
한세긴,2022-12-06,2022-11-07,30,5,33,6.6,6,715.0,21.666666666666668,1,before 2022-09-04,churn_customer
한소율_,2022-09-17,2022-09-17,1,1,5,5.0,5,54.0,10.8,1,before 2022-09-04,churn_customer
한아련,2023-01-14,2023-01-07,8,2,143,71.5,84,1906.0,13.328671328671328,0,2023-01-04,new_customer
한우유,2022-12-16,2022-10-03,75,11,347,31.55,47,12085.0,34.82708933717579,1,2022-10-02,churn_customer
한울팍,2023-01-19,2022-11-27,54,8,18,2.25,2,206.0,11.444444444444445,0,2022-11-25,mid_term
해까닥여울이,2023-01-19,2022-09-09,133,19,907,47.74,3,23734.0,26.167585446527013,0,before 2022-09-04,long_term
해득이,2022-12-03,2022-10-11,54,8,406,50.75,1,5884.0,14.492610837438423,1,2022-10-11,churn_customer
