user_nickname,last_celeb_chat_date,first_celeb_chat_date,celeb_chat_period,celeb_chat_week,celeb_chat_count,avg_celeb_chat,last_week_celeb_chat_count,celeb_chat_length,celeb_chat_avg_len,churn,celeb_joinus_date,celeb_type,last_fan_chat_date,first_fan_chat_date,fan_chat_period,fan_chat_week,fan_chat_count,avg_fan_chat,last_week_fan_chat_count,sticker_count,Total_sticker_sales,avg_sticker_price,churn_proba
강하로,2022-12-05,2022-12-05,1,1,3,3.0,3,69.0,23.0,1,2022-11-23,churn_customer,2022-12-05,2022-12-02,4.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,0.9766231040286603
강희또,2022-11-23,2022-09-04,81,12,1852,154.33,330,29561.0,15.961663066954644,1,before 2022-09-04,churn_customer,2023-01-12,2022-09-04,131.0,19.0,2950.0,155.26,1.0,4.0,335.0,83.8,0.9493936174848925
갱갱__,2022-09-23,2022-09-23,1,1,3,3.0,3,41.0,13.666666666666666,1,before 2022-09-04,churn_customer,2022-09-12,2022-09-12,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.9297057772346144
갱맘,2023-01-16,2022-09-04,135,20,242,12.1,25,2537.0,10.483471074380166,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,562.0,28.1,34.0,0.0,0.0,0.0,0.13958658740159383
건담__,2023-01-20,2023-01-12,9,2,222,111.0,210,4071.0,18.33783783783784,0,before 2022-09-04,new_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40607053945144245
건우,2023-01-01,2022-12-23,10,2,22,11.0,6,141.0,6.409090909090909,1,2022-12-23,churn_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9600993307273438
건원,2023-01-20,2022-11-18,64,10,484,48.4,73,9917.0,20.489669421487605,0,2022-11-18,mid_term,2023-01-20,2022-11-18,64.0,10.0,777.0,77.7,125.0,0.0,0.0,0.0,0.05308460115307354
검은토끼,2023-01-20,2023-01-19,2,1,4,4.0,4,66.0,16.5,0,2023-01-19,new_customer,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40616697325546924
게렌,2023-01-18,2022-12-27,23,4,213,53.25,23,5173.0,24.28638497652582,0,2022-12-27,new_customer,2023-01-20,2022-12-27,25.0,4.0,197.0,49.25,14.0,0.0,0.0,0.0,0.1046337841402072
겨우디,2023-01-20,2022-09-05,138,20,1797,89.85,86,28433.0,15.822481914301614,0,before 2022-09-04,long_term,2023-01-20,2022-09-05,138.0,20.0,6800.0,340.0,227.0,5.0,150.0,30.0,0.0022645304699996714
고냥,2023-01-20,2022-09-04,139,20,1056,52.8,162,15547.0,14.72253787878788,0,before 2022-09-04,long_term,2023-01-20,2022-09-04,139.0,20.0,1778.0,88.9,320.0,0.0,0.0,0.0,0.025920207926630343
고대뼝아리,2022-12-20,2022-09-05,107,16,92,5.75,2,1335.0,14.51086956521739,1,before 2022-09-04,churn_customer,2023-01-06,2022-09-04,125.0,18.0,101.0,5.61,1.0,2.0,63.0,31.5,0.9780458177925988
고도람,2022-12-09,2022-09-05,96,14,40,2.86,1,650.0,16.25,1,before 2022-09-04,churn_customer,2022-12-09,2022-09-05,96.0,14.0,47.0,3.36,5.0,0.0,0.0,0.0,0.9884615036950994
고랭이,2022-12-22,2022-09-21,93,14,1102,78.71,6,15739.0,14.282214156079856,1,before 2022-09-04,churn_customer,2022-12-26,2022-09-21,97.0,14.0,2092.0,149.43,5.0,0.0,0.0,0.0,0.8510481130820449
고말숙,2023-01-20,2022-10-25,88,13,1509,116.08,163,20918.0,13.862160371106691,0,2022-10-25,mid_term,2023-01-20,2022-10-25,88.0,13.0,6073.0,467.15,561.0,15.0,625.0,41.7,0.11763009169028169
고뮬,2022-09-12,2022-09-12,1,1,3,3.0,3,20.0,6.666666666666667,1,before 2022-09-04,churn_customer,2022-09-12,2022-09-12,1.0,1.0,6.0,6.0,6.0,0.0,0.0,0.0,0.8031423706961972
고요 Goyo,2022-10-14,2022-09-04,41,6,53,8.83,6,785.0,14.81132075471698,1,before 2022-09-04,churn_customer,2022-12-18,2022-09-04,106.0,16.0,104.0,6.5,2.0,1.0,100.0,100.0,0.9771910472888944
