chat_room_id,last_fan_chat_date,first_fan_chat_date,fan_chat_period,fan_chat_week,fan_chat_count,avg_fan_chat,last_week_fan_chat_count,sticker_count,Total_sticker_sales,avg_sticker_price,user_nickname
sendbird_group_channel_82577803_3c8fe4672b16e907ef0b45d3d772fecab124ded2,2022-09-25,2022-09-25,1.0,1.0,8.0,8.0,8.0,0.0,0.0,0.0,리시안
sendbird_group_channel_83929198_0f638e3405303503c4a183f55014ae3ddf521a08,2022-10-22,2022-10-22,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,아니요
sendbird_group_channel_84927629_645e28686b669b1d85ef12dda4142bc0783338e8,2022-10-09,2022-09-09,31.0,5.0,2.0,0.4,1.0,0.0,0.0,0.0,이진로
sendbird_group_channel_84938576_5c114bd850859c4d6b86bb0a70cc8afba82d42a9,2022-09-18,2022-09-18,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,김가루
sendbird_group_channel_84940959_b650437dd12a2001816458f124da56a572936e5d,2023-01-13,2022-09-08,128.0,19.0,322.0,16.95,23.0,0.0,0.0,0.0,토우코
sendbird_group_channel_84944497_c07704d523a37deeca1d4d32a86764f16adce56e,2022-10-16,2022-09-14,33.0,5.0,4.0,0.8,3.0,0.0,0.0,0.0,동짱이야
sendbird_group_channel_84953249_fd55b5720495ea15a60c2e94267e19109bfb7cc0,2022-09-04,2022-09-04,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,소소와플
sendbird_group_channel_84954475_bf4ed9a0cdee0805273078ad2720000353bbd5c3,2023-01-19,2022-09-04,138.0,20.0,185.0,9.25,6.0,0.0,0.0,0.0,시혜
sendbird_group_channel_84959094_78dd6ed4c602627fe753ce7107ccb24d60c9d6e9,2023-01-19,2022-09-04,138.0,20.0,1885.0,94.25,13.0,0.0,0.0,0.0,후__
sendbird_group_channel_84963137_7cd65f1058b727288536e0108fb2f15f354593fb,2022-11-22,2022-10-15,39.0,6.0,3.0,0.5,2.0,0.0,0.0,0.0,설민냥
sendbird_group_channel_84976818_3b63d1998a53798d91d5269a523c71bffc442a11,2022-12-17,2022-11-07,41.0,6.0,9.0,1.5,2.0,0.0,0.0,0.0,쿄냥
sendbird_group_channel_84988539_2d181b4c81bba67ca360b4b2b9a5fa0199746000,2022-12-25,2022-09-13,104.0,15.0,9.0,0.6,2.0,1.0,30.0,30.0,김선녀
sendbird_group_channel_85027934_96d14caeb215fa030b76ab8a449dafae0e252bfe,2023-01-16,2022-09-04,135.0,20.0,1572.0,78.6,2.0,1.0,100.0,100.0,마녀페퍼
sendbird_group_channel_85074970_2ef0c2024e29e5771d9ab9768d33132d3d431e70,2022-11-04,2022-09-17,49.0,7.0,11.0,1.57,3.0,0.0,0.0,0.0,난바다
sendbird_group_channel_85079791_bb2fb2b6deb9ab59c38fc4929fdf549a50808f20,2022-10-19,2022-09-05,45.0,7.0,38.0,5.43,6.0,2.0,40.0,20.0,나브
sendbird_group_channel_85083301_aab24af728dd8ad6b02257cfd4faf564a1f6e67b,2022-11-10,2022-11-10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,
sendbird_group_channel_85090241_b10f276edb979d3529b1607db310bb951979b776,2022-09-26,2022-09-26,1.0,1.0,4.0,4.0,4.0,0.0,0.0,0.0,혁강이__
sendbird_group_channel_85118483_254bd077e1964fbe8d6692eca938d92f8bf0bc85,2023-01-20,2022-09-04,139.0,20.0,108.0,5.4,6.0,0.0,0.0,0.0,mint민트
sendbird_group_channel_85248358_9c7edc02d7551426905929176956bf7e19a74ac5,2023-01-19,2022-10-18,94.0,14.0,16.0,1.14,8.0,0.0,0.0,0.0,로나딩
sendbird_group_channel_85249736_52d2fa2d3517ffc822f7964bdf82c80e801033cd,2022-09-20,2022-09-20,1.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,소나무
sendbird_group_channel_85401630_284993d88b09abaccc0b0ffb3f1300ce8630075b,2022-09-20,2022-09-20,1.0,1.0,3.0,3.0,3.0,0.0,0.0,0.0,청솔
sendbird_group_channel_85482738_5cd0f8ca6214313dd906e35a71b153496bfbd4b2,2022-12-20,2022-10-15,67.0,10.0,6.0,0.6,3.0,0.0,0.0,0.0,쿠키굽는명나뇽
sendbird_group_channel_85607170_5da242f8add3331e01e1e30470aa39139549d4b1,2022-11-10,2022-09-14,58.0,9.0,10.0,1.11,1.0,0.0,0.0,0.0,투냥츠
sendbird_group_channel_85629274_36047c6656cc9a2f2aa46e6db6de9eacc5c6add1,2023-01-20,2022-09-04,139.0,20.0,27424.0,1371.2,816.0,0.0,0.0,0.0,유메아
sendbird_group_channel_85738208_6ea01dca789240b3b2b3db0320782e56d24b8a88,2022-11-12,2022-09-04,70.0,10.0,96.0,9.6,1.0,0.0,0.0,0.0,가아
sendbird_group_channel_85761874_0d463d600d6054867b674dcc82d8a52003baed10,2022-09-20,2022-09-20,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,Cuha_큐하
sendbird_group_channel_85819517_8fc6f0fccf7e1398c642525d6abcb9f11fd5e68f,2022-12-19,2022-09-04,107.0,16.0,157.0,9.81,1.0,0.0,0.0,0.0,김팬시
sendbird_group_channel_85830118_db9255548139c06f22d67a85a87c35640814043d,2022-12-09,2022-09-05,96.0,14.0,47.0,3.36,5.0,0.0,0.0,0.0,고도람
sendbird_group_channel_85912666_e8316971f27d1507a1e5114a823bc6ee5b67fdc4,2022-10-15,2022-10-08,8.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,거신_
sendbird_group_channel_85916951_5460e74a8050a8b548693ef84fcff649ef781a46,2022-11-11,2022-09-19,54.0,8.0,17.0,2.12,5.0,0.0,0.0,0.0,소시지
sendbird_group_channel_85921469_ab7ee9a474968e84dcefd456e5c1d455a7e9c802,2022-09-12,2022-09-12,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,일류신
sendbird_group_channel_85941601_d96336aef5cd9a23826b677ee8e1737a2f66fb08,2022-09-21,2022-09-21,1.0,1.0,14.0,14.0,14.0,0.0,0.0,0.0,민트경
sendbird_group_channel_85965054_38e2a59b76f760143c0aecd3354a03addc5af02d,2022-09-24,2022-09-24,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,슬기군
sendbird_group_channel_85985534_b351ff45c5f8f7befb232c9b05cc11842f1801d1,2022-09-23,2022-09-08,16.0,3.0,17.0,5.67,10.0,0.0,0.0,0.0,솜버
sendbird_group_channel_85998731_38f9622298b3eb21b41ace4394259cb8dbf7e1ec,2022-12-12,2022-09-08,96.0,14.0,30.0,2.14,2.0,0.0,0.0,0.0,뿌노노
sendbird_group_channel_86016350_144ee0369413a5401b2f94e4a1867eed0e100779,2023-01-20,2022-09-04,139.0,20.0,4956.0,247.8,100.0,0.0,0.0,0.0,윰로로
sendbird_group_channel_86036797_b97793d6ce5926988e8c08d1c484e6692392ee75,2023-01-13,2022-09-04,132.0,19.0,795.0,41.84,52.0,13.0,2440.0,187.7,김초월
sendbird_group_channel_86063835_d061496d8f78ea56f646694c3addba2afcab8eeb,2022-10-10,2022-10-10,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,진은월
sendbird_group_channel_86064761_7eb70321fef44169bbb373696c14d662c6e3ab12,2023-01-11,2022-09-04,130.0,19.0,19.0,1.0,2.0,0.0,0.0,0.0,샤버블
sendbird_group_channel_86074348_4547ecb0bf6fe6ab33ae100f900aa40815541b59,2022-10-13,2022-10-13,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,키모야
sendbird_group_channel_86084123_99064c702d3c8d53bea1735ddaf446314e623fd4,2022-10-29,2022-10-29,1.0,1.0,1.0,1.0,1.0,4.0,210.0,52.5,초하
