user_nickname,churn_proba
빰므,0.10672100846734957
에르뮤,0.10603891156379767
김슈룹,0.10553129312720774
게렌,0.1046337841402072
스칼렛 언니❤️,0.10242569679735881
크림딩고,0.09993716843945806
뮤르르,0.09966804323673882
하꼬님,0.0956812058695248
Yewon,0.09354903528971116
난현,0.09183309938559182
디롬,0.0912850205420533
시혜,0.08698456937812007
_보야,0.0845882810191905
마이민,0.08384474798137787
수인수인,0.0827415340994702
단여울,0.08230827332361206
달비니,0.08210356336681568
우모,0.07975760544056025
써닌장,0.07782265019148799
영실_,0.07679403906071824
박디라,0.0744829472220697
유메아,0.07395889977435006
단팡팡,0.0736600835734422
이도홈,0.0720976411912901
김봄이,0.07156180840128697
말랑복숭아,0.06976766245432363
은식.,0.06869362421124553
이쥬짱,0.06806255405464215
백곰파,0.0679639160176539
토우코,0.06762808709308286
옐링,0.06697905080232894
위티,0.06557182043649165
낙찌,0.06302972073633842
Chu_a,0.06269382962862013
김초월,0.06197328504700969
바보새,0.06162982372937118
김향단,0.058699785812262754
라나❤,0.05699021799848576
왕자룡,0.05576784186479525
하다___,0.055490083313133674
고유사,0.05528553114971094
아지수,0.055003533282340165
🍼한우유,0.054707531474053
건원,0.05308460115307354
멘시 GMENCY,0.0523834896958407
온_ON,0.05189735712801749
설사탕,0.048716711637847236
삼시오,0.048001586233878596
요디딛,0.04797708199301478
이루리,0.046083481446770394
이지각,0.0459882979760582
_코히,0.0440520991646528
남극석,0.04386916628089219
드엉이,0.0405202940926219
소미도니 somidony,0.03981548365711104
죠야끼,0.0381404174044084
샤메이シャメイ,0.03814003686563738
쿤엘,0.03597146751935839
글라세,0.035940017932478155
밤양갱,0.034590707241428625
봄삼월,0.03436537689100758
체리아씨,0.034049540858955715
매드해터,0.03374220723084684
🍒체리쉬_반이안,0.03146958538838542
이쥬찡,0.027926344566135682
냥슬,0.026320619934492518
주피디,0.02624006836952432
보나,0.0259265064463377
고냥,0.025920207926630343
박옥자,0.025225782712269156
뽀린걸,0.022616601714422313
채티_,0.02209316680646898
도롱챠,0.022061191717234627
도라선장,0.021808559054743788
차여울,0.021174617748207173
라마1004,0.020509984752655516
미르_MIR,0.019615796141882465
하음파,0.01727263583923916
소연이__,0.016233625511755844
러블리쥬쥬,0.015857017776211558
이쿠오_,0.014372775113071511
김네로,0.012833960256718843
정리베,0.012343869127406834
윤개굴이,0.011973538601128667
미단이,0.011944841326007285
진짜물_,0.011673992492520487
하꿈,0.011643507627073278
챠미,0.01080572232774383
김쨰,0.010506065470075177
미온,0.010044457711398745
하루짱,0.009540899356903804
_네린,0.008893454697075328
열밍,0.008835343281117005
유키냥,0.00820372592989213
김홀릭,0.007770398588438139
금솔,0.007614269310210011
나는루다,0.007556706058992958
따찌,0.006907179588332524
캉난나,0.006806046269328997
박틸다,0.006766880073933323
밍디롱,0.00673446094150325
🍒체리쉬_설 윤,0.006119175202481217
뉴나랑,0.0060874580584904005
🍒체리쉬_윤호림,0.005999802664607792
루엘(Ruel),0.005831390350077446
김몽대,0.005535929723059966
숑아,0.0054160650307002135
애순이,0.005376183752174493
하링하링하링하링하링,0.004729560766009331
소풍왔니,0.004699790819976341
하쁘,0.004465664039209481
서테린,0.0043817318001915665
🍒체리쉬_온해빈,0.004025970523049235
소희르,0.0038690672723108856
플루트레미,0.003786367402404722
나윤,0.003454389092416087
예콩_,0.003247406821234507
제로_,0.003193247774337074
✨소누키 Sonookiii,0.003190712174836637
위칭,0.0030388568838043664
나는야꼬등어,0.002978777492421202
_해사,0.002818945933310428
왕군,0.0024787609732706134
윰로로,0.0023148737912119135
겨우디,0.0022645304699996714
유은_,0.002054764024228817
리리치,0.0020362498999606142
